"Mot,Distribution,Fréquence relative"
adorais,1,0.0003894080996884735
vanité,3,0.0011682242990654205
divorces,1,0.0003894080996884735
semblable,1,0.0003894080996884735
patrie,6,0.002336448598130841
inespéré,1,0.0003894080996884735
propice,2,0.000778816199376947
clémence,1,0.0003894080996884735
incertain,1,0.0003894080996884735
préparatifs,1,0.0003894080996884735
barrière,1,0.0003894080996884735
sois,3,0.0011682242990654205
ma,103,0.04010903426791277
douceurs,2,0.000778816199376947
sèche,1,0.0003894080996884735
remplit,1,0.0003894080996884735
superflue,1,0.0003894080996884735
résoudre,1,0.0003894080996884735
discours,7,0.0027258566978193145
perdons,1,0.0003894080996884735
fit,2,0.000778816199376947
nous,102,0.0397196261682243
pare,1,0.0003894080996884735
devenue,1,0.0003894080996884735
puissai,1,0.0003894080996884735
élever,1,0.0003894080996884735
gage,1,0.0003894080996884735
tirer,2,0.000778816199376947
surprend,3,0.0011682242990654205
images,2,0.000778816199376947
sous,7,0.0027258566978193145
mourrait,1,0.0003894080996884735
feront,1,0.0003894080996884735
suis,24,0.009345794392523364
impossible,1,0.0003894080996884735
extrémité,2,0.000778816199376947
vaincrait,1,0.0003894080996884735
caractères,1,0.0003894080996884735
dis,6,0.002336448598130841
satisfaire,2,0.000778816199376947
ingrat,2,0.000778816199376947
craintes,3,0.0011682242990654205
finir,2,0.000778816199376947
texte,5,0.0019470404984423676
princes,2,0.000778816199376947
pousser,1,0.0003894080996884735
impiété,3,0.0011682242990654205
soin,4,0.001557632398753894
souhaiter,4,0.001557632398753894
âmes,5,0.0019470404984423676
égales,1,0.0003894080996884735
souhaitons,1,0.0003894080996884735
exaucez,1,0.0003894080996884735
contre,28,0.010903426791277258
durant,1,0.0003894080996884735
témoignait,1,0.0003894080996884735
déjà,13,0.0050623052959501555
sang,48,0.018691588785046728
défait,1,0.0003894080996884735
commis,1,0.0003894080996884735
plonge,1,0.0003894080996884735
aveu,2,0.000778816199376947
vaincras,1,0.0003894080996884735
impuissants,1,0.0003894080996884735
éperdue,1,0.0003894080996884735
moindre,4,0.001557632398753894
presse,4,0.001557632398753894
cette,29,0.011292834890965732
souhaitée,1,0.0003894080996884735
présents,1,0.0003894080996884735
bientôt,7,0.0027258566978193145
réponse,1,0.0003894080996884735
nature,3,0.0011682242990654205
réglera,1,0.0003894080996884735
favorables,1,0.0003894080996884735
éclatante,1,0.0003894080996884735
tourne,1,0.0003894080996884735
jugez,1,0.0003894080996884735
marches,1,0.0003894080996884735
belle,7,0.0027258566978193145
achevez,1,0.0003894080996884735
saper,1,0.0003894080996884735
fort,9,0.0035046728971962616
beauté,1,0.0003894080996884735
refusé,1,0.0003894080996884735
braver,2,0.000778816199376947
vivrai,1,0.0003894080996884735
entretien,1,0.0003894080996884735
autre,43,0.01674454828660436
moitié,5,0.0019470404984423676
dissipé,1,0.0003894080996884735
misères,4,0.001557632398753894
unissant,1,0.0003894080996884735
forces,3,0.0011682242990654205
flattais,1,0.0003894080996884735
congé,1,0.0003894080996884735
goûtent,1,0.0003894080996884735
trempé,1,0.0003894080996884735
consumé,1,0.0003894080996884735
querellez,1,0.0003894080996884735
verser,2,0.000778816199376947
autrement,4,0.001557632398753894
celles,1,0.0003894080996884735
tiré,1,0.0003894080996884735
voir,35,0.013629283489096573
eux,25,0.009735202492211837
bon,15,0.005841121495327103
réduits,1,0.0003894080996884735
unissent,1,0.0003894080996884735
chose,4,0.001557632398753894
encor,4,0.001557632398753894
vain,8,0.003115264797507788
flambeau,2,0.000778816199376947
grêce,1,0.0003894080996884735
efforce,1,0.0003894080996884735
aujourd,15,0.005841121495327103
comptable,1,0.0003894080996884735
souilleriez,1,0.0003894080996884735
monts,1,0.0003894080996884735
ciel,24,0.009345794392523364
croyais,2,0.000778816199376947
mettant,1,0.0003894080996884735
faite,1,0.0003894080996884735
renvoyer,1,0.0003894080996884735
mélange,1,0.0003894080996884735
pouvoir,8,0.003115264797507788
voudrais,2,0.000778816199376947
plaire,1,0.0003894080996884735
savez,4,0.001557632398753894
attendent,2,0.000778816199376947
se,51,0.01985981308411215
devine,1,0.0003894080996884735
douce,1,0.0003894080996884735
hymen,10,0.003894080996884735
bouche,5,0.0019470404984423676
gens,2,0.000778816199376947
désavantage,1,0.0003894080996884735
ignorez,2,0.000778816199376947
conjectures,1,0.0003894080996884735
sorte,2,0.000778816199376947
soient,7,0.0027258566978193145
voulez,2,0.000778816199376947
rompt,2,0.000778816199376947
perd,4,0.001557632398753894
point,93,0.036214953271028034
désavoueront,1,0.0003894080996884735
troubles,1,0.0003894080996884735
promettre,1,0.0003894080996884735
faisant,4,0.001557632398753894
trahir,1,0.0003894080996884735
rendrai,1,0.0003894080996884735
vrai,1,0.0003894080996884735
légères,1,0.0003894080996884735
je,237,0.09228971962616822
résister,3,0.0011682242990654205
allégresse,4,0.001557632398753894
changerez,1,0.0003894080996884735
mains,19,0.007398753894080997
aidant,1,0.0003894080996884735
foule,1,0.0003894080996884735
chers,2,0.000778816199376947
brillant,1,0.0003894080996884735
rigueurs,2,0.000778816199376947
terreur,3,0.0011682242990654205
épandu,1,0.0003894080996884735
hui,15,0.005841121495327103
dangereux,1,0.0003894080996884735
emportent,1,0.0003894080996884735
lors,2,0.000778816199376947
cède,3,0.0011682242990654205
flammes,2,0.000778816199376947
ignore,2,0.000778816199376947
court,1,0.0003894080996884735
irrésolu,1,0.0003894080996884735
cours,4,0.001557632398753894
généreuses,1,0.0003894080996884735
nommer,4,0.001557632398753894
devienne,1,0.0003894080996884735
aurait,4,0.001557632398753894
oubliez,1,0.0003894080996884735
pleurons,1,0.0003894080996884735
tient,3,0.0011682242990654205
ô,17,0.00661993769470405
demeure,2,0.000778816199376947
trouvé,1,0.0003894080996884735
laissant,2,0.000778816199376947
vanterai,1,0.0003894080996884735
jours,6,0.002336448598130841
porter,4,0.001557632398753894
maltraitez,1,0.0003894080996884735
adieu,5,0.0019470404984423676
recouvre,1,0.0003894080996884735
allez,5,0.0019470404984423676
souvent,5,0.0019470404984423676
entendre,3,0.0011682242990654205
épargnée,1,0.0003894080996884735
combattez,1,0.0003894080996884735
établit,1,0.0003894080996884735
vainqueur,15,0.005841121495327103
généreuse,1,0.0003894080996884735
quittera,1,0.0003894080996884735
lâcheté,4,0.001557632398753894
pourvu,1,0.0003894080996884735
admirais,1,0.0003894080996884735
deviendrez,1,0.0003894080996884735
pareils,6,0.002336448598130841
tuer,1,0.0003894080996884735
étonnent,2,0.000778816199376947
seras,1,0.0003894080996884735
nomme,3,0.0011682242990654205
armes,8,0.003115264797507788
sourdes,1,0.0003894080996884735
autel,1,0.0003894080996884735
contentements,1,0.0003894080996884735
apprête,1,0.0003894080996884735
art,3,0.0011682242990654205
majesté,3,0.0011682242990654205
enfers,2,0.000778816199376947
déplaisirs,5,0.0019470404984423676
d,261,0.10163551401869159
atteste,3,0.0011682242990654205
air,2,0.000778816199376947
coupée,1,0.0003894080996884735
exercer,1,0.0003894080996884735
provinces,1,0.0003894080996884735
tous,46,0.01791277258566978
valeur,6,0.002336448598130841
chaste,2,0.000778816199376947
là,7,0.0027258566978193145
bouillante,1,0.0003894080996884735
redouble,1,0.0003894080996884735
troubler,1,0.0003894080996884735
poudre,2,0.000778816199376947
soupir,2,0.000778816199376947
infâme,3,0.0011682242990654205
succombe,3,0.0011682242990654205
excuser,3,0.0011682242990654205
emploierons,1,0.0003894080996884735
franchir,1,0.0003894080996884735
fuyez,1,0.0003894080996884735
impitoyable,2,0.000778816199376947
contraire,8,0.003115264797507788
prenez,3,0.0011682242990654205
dure,1,0.0003894080996884735
tant,27,0.010514018691588784
albe,36,0.014018691588785047
tiens,5,0.0019470404984423676
troupes,2,0.000778816199376947
crains,3,0.0011682242990654205
devons,2,0.000778816199376947
recevoir,3,0.0011682242990654205
descendre,1,0.0003894080996884735
sévères,2,0.000778816199376947
témoins,2,0.000778816199376947
laissée,1,0.0003894080996884735
