Numéro|Nom de Page|Lien image|Largeur|Longueur
f62|26v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f62|3842|5589
f63|27r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f63|3792|5591
f64|27v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f64|3793|5606
f65|28r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f65|3792|5599
f66|28v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f66|3816|5606
f67|29r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f67|3829|5599
f68|29v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f68|3830|5606
f69|30r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f69|3829|5599
f70|30v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f70|3808|5606
f71|31r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f71|3829|5599
f72|31v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f72|3808|5606
f73|32r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f73|3829|5599
f74|32v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f74|3808|5606
f75|33r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f75|3792|5596
f76|33v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f76|3808|5606
f77|34r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f77|3792|5596
f78|34v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f78|3840|5600
f79|35r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f79|3837|5651
f80|35v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f80|3840|5600
f81|36r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f81|3837|5651
f82|36v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f82|3840|5600
f83|37r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f83|3852|5651
f84|37v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f84|3840|5600
f85|38r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f85|3835|5651
f86|38v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f86|3809|5600
f87|39r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f87|3835|5651
f88|39v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f88|3809|5600
f89|40r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f89|3818|5651
f90|40v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f90|3809|5600
f91|41r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f91|3818|5651
f92|41v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f92|3809|5616
f93|42r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f93|3818|5651
f94|42v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f94|3809|5616
